athlete,athlete_id,medals_won,sport,rank
,146216,1,3x3 Basketball,1
,147143,1,3x3 Basketball,2
,146594,1,3x3 Basketball,3
,146595,1,3x3 Basketball,4
,145107,1,3x3 Basketball,5
,145106,1,3x3 Basketball,6
,146218,1,3x3 Basketball,7
,146596,1,3x3 Basketball,8
,145108,1,3x3 Basketball,9
,147647,1,3x3 Basketball,10
,902123,1,Aeronautics,1
,99335,8,Alpine Skiing,1
,101719,6,Alpine Skiing,2
,99516,6,Alpine Skiing,3
,99432,6,Alpine Skiing,4
,88005,5,Alpine Skiing,5
,128455,5,Alpine Skiing,6
,82343,5,Alpine Skiing,7
,110097,5,Alpine Skiing,8
,98310,5,Alpine Skiing,9
,82306,5,Alpine Skiing,10
,921691,4,Alpinism,1
,921678,4,Alpinism,2
,921671,4,Alpinism,3
,921674,4,Alpinism,4
,921682,4,Alpinism,5
,921672,4,Alpinism,6
,901507,4,Alpinism,7
,921693,4,Alpinism,8
,921673,4,Alpinism,9
,921683,4,Alpinism,10
,333,10,Archery,1
,1962,6,Archery,2
,459,5,Archery,3
,124392,4,Archery,4
,102820,4,Archery,5
,492,4,Archery,6
,475,4,Archery,7
,330,4,Archery,8
,1921,3,Archery,9
,124388,3,Archery,10
,921283,3,Art Competitions,1
,920239,3,Art Competitions,2
,921031,2,Art Competitions,3
,920023,2,Art Competitions,4
,920352,2,Art Competitions,5
,921200,2,Art Competitions,6
,921223,1,Art Competitions,7
,920130,1,Art Competitions,8
,921250,1,Art Competitions,9
,920734,1,Art Competitions,10
,29198,18,Artistic Gymnastics,1
,31235,15,Artistic Gymnastics,2
,30611,13,Artistic Gymnastics,3
,31267,13,Artistic Gymnastics,4
,30978,12,Artistic Gymnastics,5
,30593,12,Artistic Gymnastics,6
,31270,11,Artistic Gymnastics,7
,29115,11,Artistic Gymnastics,8
,29462,10,Artistic Gymnastics,9
,29175,10,Artistic Gymnastics,10
,116141,7,Artistic Swimming,1
,116137,7,Artistic Swimming,2
,122364,5,Artistic Swimming,3
,107679,5,Artistic Swimming,4
,48709,5,Artistic Swimming,5
,48703,5,Artistic Swimming,6
,116134,5,Artistic Swimming,7
,107680,4,Artistic Swimming,8
,107723,4,Artistic Swimming,9
,45890,3,Artistic Swimming,10
,67728,12,Athletics,1
,105293,11,Athletics,2
,78692,10,Athletics,3
,67783,8,Athletics,4
,78385,8,Athletics,5
,105512,8,Athletics,6
,72229,7,Athletics,7
,114740,7,Athletics,8
,69965,7,Athletics,9
,77990,7,Athletics,10
,89244,4,Badminton,1
,121932,3,Badminton,2
,105855,3,Badminton,3
,916,3,Badminton,4
,105879,3,Badminton,5
,888,3,Badminton,6
,121939,3,Badminton,7
,121936,3,Badminton,8
,82700,2,Badminton,9
,133435,2,Badminton,10
,1500,4,Baseball,1
,1513,3,Baseball,2
,1501,3,Baseball,3
,89708,3,Baseball,4
,1499,3,Baseball,5
,1486,3,Baseball,6
,1507,3,Baseball,7
,1512,3,Baseball,8
,89704,3,Baseball,9
,1509,3,Baseball,10
,5226,5,Basketball,1
,103092,5,Basketball,2
,103097,5,Basketball,3
,108542,4,Basketball,4
,7318,4,Basketball,5
,82816,4,Basketball,6
,5336,4,Basketball,7
,103095,4,Basketball,8
,111846,4,Basketball,9
,5708,4,Basketball,10
,80299,1,Basque pelota,1
,80300,1,Basque pelota,2
,94350,3,Beach Volleyball,1
,126600,3,Beach Volleyball,2
,51906,3,Beach Volleyball,3
,94592,3,Beach Volleyball,4
,122888,2,Beach Volleyball,5
,51770,2,Beach Volleyball,6
,94351,2,Beach Volleyball,7
,51902,2,Beach Volleyball,8
,94352,2,Beach Volleyball,9
,51773,2,Beach Volleyball,10
,84154,13,Biathlon,1
,80953,9,Biathlon,2
,128188,8,Biathlon,3
,111029,8,Biathlon,4
,86249,8,Biathlon,5
,128184,8,Biathlon,6
,85733,8,Biathlon,7
,100035,7,Biathlon,8
,118554,7,Biathlon,9
,86432,6,Biathlon,10
,95658,7,Bobsleigh,1
,95556,6,Bobsleigh,2
,101871,6,Bobsleigh,3
,87147,6,Bobsleigh,4
,118672,5,Bobsleigh,5
,85659,5,Bobsleigh,6
,101869,5,Bobsleigh,7
,101879,4,Bobsleigh,8
,89398,4,Bobsleigh,9
,86027,4,Bobsleigh,10
,4740,3,Boxing,1
,1681,3,Boxing,2
,8514,3,Boxing,3
,7760,3,Boxing,4
,8021,3,Boxing,5
,106357,3,Boxing,6
,112901,3,Boxing,7
,3832,3,Boxing,8
,123509,3,Boxing,9
,1683,3,Boxing,10
,10762,3,Canoe Marathon,1
,9624,2,Canoe Marathon,2
,11094,2,Canoe Marathon,3
,9970,2,Canoe Marathon,4
,10813,2,Canoe Marathon,5
,10811,2,Canoe Marathon,6
,9565,2,Canoe Marathon,7
,10899,1,Canoe Marathon,8
,9105,1,Canoe Marathon,9
,10424,1,Canoe Marathon,10
,10719,5,Canoe Slalom,1
,123753,4,Canoe Slalom,2
,90263,4,Canoe Slalom,3
,90262,4,Canoe Slalom,4
,116621,3,Canoe Slalom,5
,90175,3,Canoe Slalom,6
,116471,3,Canoe Slalom,7
,10714,2,Canoe Slalom,8
,9589,2,Canoe Slalom,9
,11029,2,Canoe Slalom,10
,116671,8,Canoe Sprint,1
,90202,8,Canoe Sprint,2
,10605,7,Canoe Sprint,3
,9879,7,Canoe Sprint,4
,10730,7,Canoe Sprint,5
,10397,6,Canoe Sprint,6
,126097,6,Canoe Sprint,7
,9824,6,Canoe Sprint,8
,10026,6,Canoe Sprint,9
,90189,5,Canoe Sprint,10
,17920,1,Cricket,1
,17822,1,Cricket,2
,17830,1,Cricket,3
,3100005,1,Cricket,4
,3100008,1,Cricket,5
,17923,1,Cricket,6
,17820,1,Cricket,7
,17819,1,Cricket,8
,17824,1,Cricket,9
,17915,1,Cricket,10
,17840,2,Croquet,1
,17836,2,Croquet,2
,17831,2,Croquet,3
,17839,1,Croquet,4
,17838,1,Croquet,5
,101008,15,Cross Country Skiing,1
,85378,12,Cross Country Skiing,2
,80627,10,Cross Country Skiing,3
,82399,10,Cross Country Skiing,4
,87535,9,Cross Country Skiing,5
,83087,9,Cross Country Skiing,6
,137797,9,Cross Country Skiing,7
,118748,9,Cross Country Skiing,8
,81587,8,Cross Country Skiing,9
,95693,7,Cross Country Skiing,10
,138426,4,Curling,1
,118916,3,Curling,2
,138421,3,Curling,3
,138164,2,Curling,4
,138169,2,Curling,5
,110185,2,Curling,6
,110186,2,Curling,7
,110184,2,Curling,8
,110167,2,Curling,9
,127980,2,Curling,10
,140736,1,Cycling BMX Freestyle,1
,142975,1,Cycling BMX Freestyle,2
,146634,1,Cycling BMX Freestyle,3
,143120,1,Cycling BMX Freestyle,4
,147562,1,Cycling BMX Freestyle,5
,147147,1,Cycling BMX Freestyle,6
,125006,3,Cycling BMX Racing,1
,133260,2,Cycling BMX Racing,2
,113299,2,Cycling BMX Racing,3
,143121,1,Cycling BMX Racing,4
,145454,1,Cycling BMX Racing,5
,113292,1,Cycling BMX Racing,6
,135246,1,Cycling BMX Racing,7
,113117,1,Cycling BMX Racing,8
,123792,1,Cycling BMX Racing,9
,124037,1,Cycling BMX Racing,10
,113245,3,Cycling Mountain Bike,1
,90409,3,Cycling Mountain Bike,2
,107997,2,Cycling Mountain Bike,3
,15512,2,Cycling Mountain Bike,4
,13198,2,Cycling Mountain Bike,5
,107978,2,Cycling Mountain Bike,6
,108020,2,Cycling Mountain Bike,7
,13711,2,Cycling Mountain Bike,8
,90507,1,Cycling Mountain Bike,9
,13237,1,Cycling Mountain Bike,10
,13167,4,Cycling Road,1
,14651,3,Cycling Road,2
,13253,3,Cycling Road,3
,103695,3,Cycling Road,4
,14285,3,Cycling Road,5
,15461,3,Cycling Road,6
,103662,3,Cycling Road,7
,131139,3,Cycling Road,8
,120531,3,Cycling Road,9
,14579,2,Cycling Road,10
,113166,9,Cycling Track,1
,90392,7,Cycling Track,2
,90388,7,Cycling Track,3
,14189,6,Cycling Track,4
,106841,6,Cycling Track,5
,15574,5,Cycling Track,6
,14321,5,Cycling Track,7
,15736,5,Cycling Track,8
