total,country_noc
35,AUS
3,BUL
15,CUB
1,GUA
18,HUN
1,KUW
2,PUR
65,RUS
4,SUI
3,TUN
3,TUR
38,JPN
2,TPE
1,HKG
19,UKR
1,AFG
20,ESP
2,EST
1,KSA
6,RSA
104,USA
1,BAH
18,CAN
1,GAB
13,JAM
11,KAZ
2,LAT
1,MAR
2,MAS
2,QAT
3,INA
6,IND
1,MNE
3,FIN
1,VIE
4,SVK
1,ALG
10,BLR
4,SLO
1,CYP
4,EGY
5,MGL
2,SGP
1,UGA
8,ETH
28,ITA
5,LTU
4,TTO
65,GBR
1,BOT
9,COL
2,DOM
30,KOR
4,NOR
11,POL
1,POR
7,ROU
1,TJK
8,SWE
3,BEL
9,DEN
6,GEO
44,GER
13,KEN
8,MEX
20,NED
1,VEN
4,ARG
2,ARM
17,BRA
1,BRN
6,CRO
35,FRA
2,GRE
1,GRN
13,IRI
6,IRL
7,PRK
4,SRB
1,CMR
9,AZE
11,CZE
13,NZL
3,UZB
92,CHN
4,THA
